Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,onbreak,more than 5 years,Childcare;Relocation;,Unsuccessful applications;Discrimination (career gap);Lack of support (family/network);Lack of confidence in skills/experience;Not knowing where to start;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Being a positive role model;Independence from other people's decisions;Fulfilment;Giving my personal best;,Studying - full-time or part-time;(Re)Training;Volunteering;Stay-at-home parent;,no need for this,nice to have,very helpful,Motherhood;Minority ethnic woman;,1 child,No,30 to 39 years,Master's dregree or equivalent,Up to 5 years,"Chinese, Chinese Scottish or Chinese British",EH4 1PD
Yes,Yes,onbreak,6 months to 2 years,Childcare;,Lack of jobs (local area);,In about a year,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Fulfilment;Contributing to society;Being a positive role model;Earning money to provide for myself/my family;,(Re)Training;Stay-at-home parent;,nice to have,nice to have,nice to have,Motherhood;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,KA7 
Yes,Yes,onbreak,more than 5 years,Childcare;Travelling;,Lack of jobs (salary/experience);Lack of flexible jobs;,Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Fulfilment;Being a positive role model;","Stay-at-home parent;Started an Etsy business, but I closed it due to the pandemic/homeschooling. Lost mojo.;",nice to have,very helpful,very helpful,Motherhood;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,10-15 years,Any mixed or multiple ethnic groups,EH30 
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my potential/skills;I have a better (work)life balance;My stress levels have increased ;,6 months to 2 years,Maternity Leave;,Lack of affordable care;Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Career switch (can’t afford);Career switch (unsure what);Discrimination (age/gender/ethnicity);Discrimination (career gap);,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Being a positive role model;Fulfilment;Contributing to my savings/retirement;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Master's dregree or equivalent,5-10 years,White Scottish,G77
Yes,Yes,onbreak,6 months to 2 years,Other Caring Responsibilities;,Timing not right;Lack of jobs (salary/experience);Lack of jobs (with progression);,Within six months,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Following my ambition;,Unpaid caring responsibility (other than your own children);,nice to have,nice to have,nice to have,Caring for an adult relative;Older woman (55+);,No child,,60+,Bachelor's degree or equivalent,Over 20 years,Any other White ethnic group,EH3
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",My stress levels have increased ;I am now working below my potential/skills;,6 months to 2 years,Maternity Leave;,Timing not right;Career switch (can’t afford);,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;Meeting family expectations;Status;Financial independence;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;,2 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Scottish,Eh53
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week","Nothing has changed, I picked up after my break where I had left;My stress levels have increased ;",6 months to 2 years,Maternity Leave;,Health issues (unable to work) ;Timing not right;,"Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Fulfilment;Contributing to my savings/retirement;Status;Contributing to society;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;Mental health issues;,3 children,No,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Other British,Eh12
Yes,Yes,onbreak,2 to 5 years,Childcare;Other Caring Responsibilities;,Lack of affordable care;Lack of support (family/network);Discrimination (career gap);,Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Fulfilment;Being a positive role model;",Unpaid caring responsibility (other than your own children);,very helpful,very helpful,very helpful,"Caring for a child with additional support needs (of any age);ADHD, autism or other neurodivergence ;",2 children,Yes,30 to 39 years,Secondary/high school education ,Up to 5 years,White Scottish,Eh54 5dq
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;I am earning less;I am more confident in my skills/the work I do;",6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;Lack of care provision;","No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Following my ambition;Being a positive role model;Meeting family expectations;,N/a;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,Any mixed or multiple ethnic groups,EH9
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am earning more;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of affordable care;Lack of flexible jobs;Lack of jobs (salary/experience);Lack of flexibility offered by my new team (same employer);,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Financial independence;Following my ambition;Fulfilment;Being a positive role model;,Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,G41
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;,2 to 5 years,Other Caring Responsibilities;,Health issues (unable to work) ;Lack of jobs (local area);Lack of jobs (salary/experience);Lack in confidence;Unsuccessful applications;,"No, only one break of 6 months or more",,,,Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;Contributing to society;,Studying - full-time or part-time;Volunteering;Unpaid caring responsibility (other than your own children);(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,not sure,nice to have,Caring for an adult relative;Perimenopausal or Menopausal;Disabled or chronic health condition;,No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Scottish,IV32
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I changed career;I have a better (work)life balance;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Health reasons/disability/recovery;Workplace bullying;Covid ;Burn-out;Childcare;,Lack of support (family/network) ;Health issues (unable to work) ;Health issue (lack of support);Not knowing where to start;Discrimination (career gap);,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Fulfilment;Contributing to society;",Volunteering;Stay-at-home parent;,very helpful,very helpful,nice to have,"Motherhood;Caring for a child with additional support needs (of any age);Mental health issues;ADHD, autism or other neurodivergence ;Disabled or chronic health condition;LGBTQIA+;",2 children,Yes,30 to 39 years,Secondary/high school education ,10-15 years,White Other British,Eh42
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;,more than 5 years,Pursuing a low paid job I was passionate about ;,Lack of jobs (with progression);Lack in confidence;,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;",Self employed ;,no need for this,very helpful,nice to have,None;,No child,,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,Eh12
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now working fewer hours than before/ I would like to/ am able to ;I am now self-employed ;I am earning less;I have a better (work)life balance;My stress levels have decreased ;,6 months to 2 years,Maternity Leave;Childcare;,Lack of support (family/network) ;Timing not right;Lack of care provision;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Following my ambition;Fulfilment;Giving my personal best;Independence from other people's decisions;,Stay-at-home parent;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Unpaid caring responsibility (other than your own children);Developing my (tutoring) self-employment business and considering other elements of a portfolio career;,very helpful,nice to have,not sure,Motherhood;Caring for a child with additional support needs (of any age);,2 children,Yes,40 to 49 years,Master's dregree or equivalent,15-20 years,Irish,EH32
Yes,Yes,onbreak,more than 5 years,Childcare;Relocation;,Timing not right;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Contributing to my savings/retirement;Fulfilment;Contributing to society;,Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,4 or more children,No,40 to 49 years,Master's dregree or equivalent,10-15 years,Irish,EH10
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My stress levels have increased ;,6 months to 2 years,Maternity Leave;,"Career switch (unsure what);No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Being a positive role model;,Stay-at-home parent;,nice to have,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,Irish,Eh49
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;,Timing not right;Lack of care provision;Lack of affordable care;Lack of flexible jobs;Career switch (unsure what);Unsuccessful applications;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;Fulfilment;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,1 child,No,30 to 39 years,Doctoral (PhD) or equivalent,5-10 years,Latinamerican ,Eh11
Yes,Yes,onbreak,2 to 5 years,Childcare;Maternity leave;,Lack of jobs (local area);Lack of flexible jobs;Lack in confidence;Career switch (unsure what);Not knowing where to start;Unsuccessful applications;Discrimination (career gap);,Immediately,,,,,,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Contributing to society;Being a positive role model;",Studying - full-time or part-time;,very helpful,very helpful,very helpful,Motherhood;Experience of trauma;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,G78 
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;My career progressed/ developed after my break;I am working more hours than before;I changed career;I am earning less;I have a better (work)life balance;,6 months to 2 years,Redundancy;Career change;,"No obstacles, it was planned and/or worked out well ;","Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Contributing to my savings/retirement;Following my ambition;Fulfilment;Being a positive role model;,Studying - full-time or part-time;Volunteering;,no need for this,very helpful,no need for this,Motherhood;Perimenopausal or Menopausal;,2 children,No,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH10
Yes,Yes,working,,,,,"I am job hunting at the moment, my contract finished in May. However this was my first job after a 4 year break due to serious illness. I wasn't sure which option to choose for the opening career break status question. I hope this doesn't duff up your data....",I am now working fewer hours than before/ I would like to/ am able to ;I am less confident in my skills/ the work I do;I am more confident in my skills/the work I do;I was luckily able to get a temporary job that fitted my skills (not salary expectations though) as my first role after being ill. My confidence returning to work was very low but I was delighted to realise how much I know and how skilled I am once I felt settled in. ;,2 to 5 years,Health reasons/disability/recovery;,Health issue (lack of support);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Unsuccessful applications;,"No, only one break of 6 months or more",,,,Financial independence;Contributing to my savings/retirement;Following my ambition;Following my dreams;Independence from other people's decisions;,Volunteering;Recovering from a serious illness (it's more than a full time job to do so...you never get time off from it). ;,very helpful,very helpful,very helpful,Disabled or chronic health condition;,No child,,30 to 39 years,Master's dregree or equivalent,5-10 years,White Scottish,EH42
Yes,Yes,working,,,,,"I'm working full-time with flexibility around where I work, but only within the UK. ",I am now working below my former career level;I am earning less;I have a better (work)life balance;I am less confident in my skills/ the work I do;,6 months to 2 years,Relocation;,Lack of market insight;Relocation (struggle with culture/market);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Financial independence;",indulged in a key passion - skiing;,N/A,nice to have,nice to have,Perimenopausal or Menopausal;Minority ethnic woman;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,"Chinese, Chinese Scottish or Chinese British",EH12
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;,6 months to 2 years,Relocation;,Relocation (struggle with culture/market);,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Following my ambition;Fulfilment;Contributing to society;",Studying - full-time or part-time;Stay-at-home parent;,no need for this,nice to have,very helpful,Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,No child,,50 to 59 years,Bachelor's degree or equivalent,Over 20 years,Irish,EH13
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;,more than 5 years,Childcare;,Timing not right;Lack of affordable care;Lack of flexible jobs;Lack in confidence;Not knowing where to start;Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Being a positive role model;",Studying - full-time or part-time;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;,2 children,Yes,40 to 49 years,Bachelor's degree or equivalent,10-15 years,White Scottish,EH53
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am earning less;I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;,more than 5 years,Childcare;,Lack of flexible jobs;Career switch (unsure what);,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Not sure,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Fulfilment;",Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,10-15 years,White Other British,Eh13
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I have a better (work)life balance;,6 months to 2 years,Childcare;Supporting partner's career;,Timing not right;Lack of affordable care;Lack of jobs (salary/experience);Lack of flexible jobs;Career switch (can’t afford);Unsuccessful applications;,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Following my ambition;Contributing to society;",Stay-at-home parent;,nice to have,nice to have,no need for this,Motherhood;,2 children,No,22 to 29 years,Bachelor's degree or equivalent,10-15 years,Irish,Eh17
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am earning less;,6 months to 2 years,Relocation;,Lack of affordable care;Lack of support (family/network) ;Lack of flexible jobs;Lack of jobs (with progression);Lack of jobs (salary/experience);Discrimination (age/gender/ethnicity);Unsuccessful applications;Discrimination (career gap);Not knowing where to start;,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Financial independence;Being a positive role model;Fulfilment;Status;,Volunteering;Studying - full-time or part-time;Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Perimenopausal or Menopausal;Veteran or spouse of a veteran;,3 children,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,G77
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;,6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;My return was hampered by a previous line manager but I waited for him to leave which was planned and then requested my flexible working requirements ;","Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Following my dreams;Being a positive role model;",I undertook consultancy work while on first career break and the second I cared for my child;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,40 to 49 years,Master's dregree or equivalent,Over 20 years,Any other White ethnic group,EH14
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am earning more;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;,"Lack of support (family/network) ;No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,"No – the first or earlier break(s) had the main positive impact, after later break(s) things didn’t change much","Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Fulfilment;",Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,EH4
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work","Nothing has changed, I picked up after my break where I had left;My stress levels have increased ;",6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of flexible jobs;Lack of jobs (with progression);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,5-10 years,White Scottish,DD4
Yes,Yes,onbreak,more than 5 years,Maternity leave;Childcare;Other Caring Responsibilities;,Timing not right;Lack of care provision;Lack of flexible jobs;Lack of confidence in skills/experience;Lack in confidence;Career switch (unsure what);Not knowing where to start;,In about a year,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Contributing to society;Being a positive role model;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);,2 children,Yes,40 to 49 years,Bachelor's degree or equivalent,10-15 years,White Scottish,EH49 
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now self-employed ;My career progressed/ developed after my break;I have a better (work)life balance;,more than 5 years,Maternity Leave;,Lack of care provision;Lack of flexible jobs;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Fulfilment;Being a positive role model;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,very helpful,Older woman (55+);Motherhood;,2 children,No,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,EH15
Yes,Yes,onbreak,6 months to 2 years,Health reasons/disability/recovery;Burn-out;Workplace bullying;Menopause;,Discrimination (age/gender/ethnicity);Discrimination (career gap);,Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;","Recovering, working on self care and wellbeing. Also readjusting after a house move.;",N/A,nice to have,very helpful,Older woman (55+);Perimenopausal or Menopausal;Experience of trauma;Woman affected by domestic abuse;,No child,,60+,Bachelor's degree or equivalent,Over 20 years,Irish,EH32
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;,6 months to 2 years,Redundancy;,Lack of jobs (local area);Lack of flexible jobs;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Following my ambition;Giving my personal best;Making change for future generations;Being a positive role model;,N/a;,no need for this,nice to have,nice to have,Motherhood;,1 child,No,30 to 39 years,Prefer not to say,15-20 years,White Scottish,Eh8
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am less confident in my skills/ the work I do;I changed career;,6 months to 2 years,Maternity Leave;,Lack of jobs (local area);Lack of confidence in skills/experience;Discrimination (age/gender/ethnicity);Discrimination (career gap);,"Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Financial independence;Fulfilment;Contributing to society;Being a positive role model;,Volunteering;Studying - full-time or part-time;Stay-at-home parent;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;Woman affected by domestic abuse;,2 children,No,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH6 
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I changed career;My stress levels have increased ;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;,2 to 5 years,Childcare;Studying;,Timing not right;Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack in confidence;Career switch (unsure what);Not knowing where to start;Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Independence from other people's decisions;Following my ambition;Being a positive role model;,Studying - full-time or part-time;(Re)Training;Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Lone parent;,4 or more children,Yes,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",5-10 years,White Scottish,EH23 
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;,Lack of affordable care;Lack of support (family/network);Career switch (unsure what);,Within the next three months,,,,,,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,3 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,Ky12 8bt
Yes,Yes,onbreak,more than 5 years,Maternity leave;Childcare;Relocation;,Timing not right;Lack of care provision;Lack of support (family/network);Lack of jobs (local area);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Lack of confidence in skills/experience;Career switch (can’t afford);Career switch (unsure what);Unsuccessful applications;Discrimination (career gap);,Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Earning money to provide for myself/my family;Contributing to my savings/retirement;Following my dreams;Following my ambition;",(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,eh42
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;I am earning more;,6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,Earning money to provide for myself/my family;Giving my personal best;Fulfilment;Independence from other people's decisions;Financial independence;,Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;Lone parent;Mental health issues;Experience of trauma;,2 children,No,22 to 29 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",10-15 years,White Scottish,EH5
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;,Timing not right;Lack of care provision;,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Earning money to provide for myself/my family;Financial independence;Following my ambition;Fulfilment;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Other British,Ky3
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My stress levels have increased ;I am less confident in my skills/ the work I do;I am now working fewer hours than before/ I would like to/ am able to ;I am now working below my potential/skills;,6 months to 2 years,Maternity Leave;,Lack of jobs (local area);Lack of flexible jobs;Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Career switch (unsure what);Not knowing where to start;Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);Lack of support (family/network) ;Health issues (unable to work) ;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Contributing to society;Fulfilment;Following my dreams;Following my ambition;,Studying - full-time or part-time;Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,Ky7
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am earning more;I have a better (work)life balance;,2 to 5 years,Maternity Leave;Childcare;,Lack of support (family/network) ;Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Discrimination (career gap);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;Following my ambition;,Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,1 child,No,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Other British,EH22 3FS
